Timestamp,Source_IP,Destination_IP,Port,Request_Type,Protocol,Payload_Size,User_Agent,Status,Intrusion,Scan_Type
2025-06-06 06:04:08,192.168.54.167,220.159.139.17,443,SSH,ICMP,2954,Mozilla/5.0,Success,0,Normal
2025-06-04 15:20:59,192.168.193.254,201.83.205.167,80,FTP,UDP,206,Wget/1.20.3,Success,0,Normal
2025-06-03 07:23:49,192.168.91.17,211.0.177.164,21,SSH,ICMP,977,nmap/7.80,Success,0,Normal
2025-06-03 11:35:42,192.168.108.75,187.49.21.67,22,HTTP,TCP,521,curl/7.68.0,Success,0,Normal
2025-06-05 06:09:02,192.168.245.254,189.62.16.12,53,Telnet,TCP,251,Wget/1.20.3,Success,0,Normal
2025-06-02 00:22:34,192.168.95.59,195.140.52.90,53,SSH,ICMP,367,python-requests/2.25.1,Success,0,Normal
2025-06-06 20:59:31,192.168.212.235,160.140.49.168,80,HTTPS,TCP,1705,Wget/1.20.3,Success,0,Normal
2025-06-04 17:15:34,192.168.222.165,132.149.138.89,21,SMTP,UDP,1417,Nikto/2.1.6,Success,0,Normal
2025-06-04 00:28:51,192.168.119.170,139.74.231.32,53,FTP,UDP,472,Wget/1.20.3,Success,0,Normal
2025-06-06 12:04:51,192.168.201.152,142.219.92.107,80,Telnet,ICMP,2832,Mozilla/5.0,Success,0,Normal
2025-06-05 08:20:06,192.168.148.246,60.30.204.197,53,SSH,UDP,1566,Mozilla/5.0,Success,0,Normal
2025-06-02 00:02:55,192.168.100.69,34.45.217.29,80,DNS,TCP,1732,Wget/1.20.3,Success,0,Normal
2025-06-04 03:03:25,192.168.123.184,20.0.219.226,80,SSH,TCP,2718,Wget/1.20.3,Success,0,Normal
2025-06-04 13:17:04,192.168.200.44,218.8.143.189,443,HTTPS,ICMP,1635,curl/7.68.0,Success,0,Normal
2025-06-03 15:47:05,200.87.146.138,191.36.197.196,135,Telnet,ICMP,1121,Nikto/2.1.6,Failure,1,BotAttack
2025-06-04 01:25:20,192.168.178.117,188.155.80.50,443,DNS,TCP,1275,Nikto/2.1.6,Success,0,Normal
2025-06-05 07:09:21,192.168.110.154,188.8.87.235,22,HTTPS,TCP,1675,Mozilla/5.0,Success,0,Normal
2025-06-02 07:39:51,192.168.203.65,1.61.35.0,80,SSH,ICMP,311,Mozilla/5.0,Success,0,Normal
2025-06-04 12:09:35,192.168.12.102,80.35.222.43,21,FTP,TCP,2506,python-requests/2.25.1,Success,0,Normal
2025-06-03 13:23:59,192.168.207.5,151.218.32.103,80,HTTPS,TCP,1699,python-requests/2.25.1,Success,0,Normal
2025-06-01 12:52:43,192.168.209.116,194.149.213.123,25,HTTP,ICMP,2455,Wget/1.20.3,Success,0,Normal
2025-06-01 16:06:11,192.168.31.229,14.222.124.184,21,SSH,UDP,928,Nikto/2.1.6,Success,0,Normal
2025-06-01 08:36:30,192.168.139.10,130.109.219.21,80,SSH,UDP,810,Wget/1.20.3,Success,0,Normal
2025-06-05 09:13:07,192.168.213.164,128.156.204.199,53,HTTPS,UDP,694,python-requests/2.25.1,Success,0,Normal
2025-06-05 17:20:51,192.168.151.227,160.101.19.194,21,SMTP,TCP,2813,curl/7.68.0,Success,0,Normal
2025-06-03 08:30:34,192.168.232.170,160.90.88.110,80,SSH,TCP,1188,Nikto/2.1.6,Success,0,Normal
2025-06-02 21:28:33,192.168.167.179,192.24.189.200,443,HTTPS,UDP,2524,Nikto/2.1.6,Success,0,Normal
2025-06-05 08:52:54,192.168.144.243,25.215.208.255,25,HTTPS,UDP,435,python-requests/2.25.1,Success,0,Normal
2025-06-04 08:16:36,192.168.39.206,145.46.105.131,25,SSH,TCP,2626,Mozilla/5.0,Success,0,Normal
2025-06-05 23:29:04,192.168.18.187,219.123.162.175,443,HTTPS,ICMP,2484,curl/7.68.0,Success,0,Normal
2025-06-03 00:47:21,3.222.94.132,114.115.29.125,8080,SMTP,ICMP,4372,python-requests/2.25.1,Failure,1,BotAttack
2025-06-06 10:15:39,192.168.45.154,126.12.203.136,53,HTTP,TCP,1850,python-requests/2.25.1,Success,0,Normal
2025-06-04 03:41:15,192.168.254.127,159.80.167.104,25,DNS,TCP,1389,curl/7.68.0,Failure,0,Normal
2025-06-06 20:40:38,192.168.127.73,103.6.12.71,25,HTTPS,UDP,1267,python-requests/2.25.1,Success,0,Normal
2025-06-06 00:45:07,192.168.212.19,206.211.160.87,443,FTP,ICMP,301,python-requests/2.25.1,Success,0,Normal
2025-06-03 00:11:57,192.168.30.165,205.236.255.68,443,HTTP,TCP,1271,python-requests/2.25.1,Success,0,Normal
2025-06-03 12:21:55,192.168.188.47,216.79.28.56,443,FTP,UDP,284,nmap/7.80,Success,0,Normal
2025-06-04 10:36:55,192.168.34.147,99.119.30.10,443,SSH,TCP,1389,python-requests/2.25.1,Success,0,Normal
2025-06-03 03:57:48,192.168.225.80,15.4.56.149,80,HTTP,UDP,737,curl/7.68.0,Success,0,Normal
2025-06-05 20:20:18,192.168.216.29,203.96.8.137,21,DNS,TCP,1778,nmap/7.80,Success,0,Normal
2025-06-03 20:46:17,192.168.59.106,199.87.98.188,25,HTTP,ICMP,2308,nmap/7.80,Success,0,Normal
2025-06-06 15:21:46,192.168.16.170,141.214.186.144,22,SMTP,TCP,286,Nikto/2.1.6,Success,0,Normal
2025-06-01 01:58:25,192.168.58.86,96.90.214.207,21,FTP,UDP,1781,python-requests/2.25.1,Success,0,Normal
2025-06-01 02:50:40,192.168.194.123,211.182.3.22,21,SSH,TCP,1916,python-requests/2.25.1,Success,0,Normal
2025-06-03 14:46:56,192.168.243.49,202.149.189.32,53,Telnet,UDP,237,python-requests/2.25.1,Success,0,Normal
2025-06-01 19:56:29,192.168.102.48,139.144.54.231,21,SSH,UDP,372,nmap/7.80,Success,0,Normal
2025-06-02 04:27:51,192.168.157.197,207.77.18.98,22,SSH,UDP,1291,nmap/7.80,Success,0,Normal
2025-06-01 06:49:37,192.168.41.161,194.199.125.134,53,SMTP,UDP,2192,curl/7.68.0,Success,0,Normal
2025-06-06 03:58:40,192.168.180.197,124.195.238.191,22,DNS,ICMP,2868,curl/7.68.0,Failure,0,Normal
2025-06-02 10:21:14,192.168.35.237,223.87.118.99,53,SSH,TCP,1898,Mozilla/5.0,Success,0,Normal
2025-06-05 04:59:17,192.168.103.71,184.192.134.235,80,FTP,TCP,428,Nikto/2.1.6,Success,0,Normal
2025-06-03 06:57:14,192.168.5.30,199.9.42.4,443,DNS,UDP,353,Mozilla/5.0,Success,0,Normal
2025-06-02 00:43:00,192.168.37.230,208.169.98.49,80,SSH,UDP,2883,Nikto/2.1.6,Success,0,Normal
2025-06-06 06:14:39,192.168.236.47,136.164.206.207,22,SSH,TCP,1066,Wget/1.20.3,Success,0,Normal
2025-06-03 11:41:42,192.168.16.48,134.59.122.245,21,HTTP,UDP,2362,Nikto/2.1.6,Success,0,Normal
2025-06-06 21:02:47,192.168.137.24,135.245.78.9,22,SMTP,ICMP,1093,curl/7.68.0,Success,0,Normal
2025-06-06 15:22:37,192.168.106.238,132.182.218.104,53,HTTPS,UDP,1637,nmap/7.80,Success,0,Normal
2025-06-04 15:09:22,222.104.51.43,204.32.19.19,23,DNS,ICMP,177,Nikto/2.1.6,Failure,1,PortScan
2025-06-06 19:05:22,38.233.224.217,56.158.38.68,23,Telnet,UDP,3072,curl/7.68.0,Failure,1,BotAttack
2025-06-04 22:58:29,192.168.11.211,158.253.47.119,21,DNS,ICMP,271,Mozilla/5.0,Success,0,Normal
2025-06-03 11:03:03,192.168.7.158,121.122.151.190,80,SMTP,TCP,1940,Nikto/2.1.6,Success,0,Normal
2025-06-03 01:39:46,192.168.86.142,49.203.164.133,443,SMTP,ICMP,2770,curl/7.68.0,Success,0,Normal
2025-06-06 15:04:09,192.168.80.39,140.6.94.21,80,SSH,ICMP,1521,Mozilla/5.0,Success,0,Normal
2025-06-04 07:36:39,192.168.204.45,144.238.207.165,22,SMTP,UDP,635,nmap/7.80,Success,0,Normal
