Packet_Count,Packet_Size,Flow_Duration,Failed_Logins,Label
51.0,574.5,4.23,0,0
51.0,479.3,2.3,0,0
55.0,597.2,1.29,0,0
59.0,728.5,3.44,0,0
55.0,464.9,9.43,0,0
56.0,464.9,3.3,0,0
63.0,736.9,5.24,0,0
62.0,615.1,7.06,0,0
59.0,429.6,3.7,0,0
63.0,581.4,9.72,0,0
60.0,430.5,9.63,2,0
60.0,430.1,2.59,2,0
63.0,536.3,5.02,1,0
56.0,213.0,3.08,0,0
57.0,241.3,2.92,0,0
60.0,415.7,0.47,2,0
58.0,348.1,6.13,0,0
61.0,547.1,5.08,2,0
56.0,363.8,0.61,2,0
54.0,288.2,2.86,1,0
61.0,719.8,9.09,0,0
55.0,466.1,2.47,0,0
54.0,510.1,1.53,1,0
48.0,286.3,4.95,0,0
50.0,418.3,9.86,0,0
50.0,516.6,2.5,0,0
45.0,327.4,6.75,2,0
48.0,556.4,7.64,0,0
43.0,409.9,2.45,0,0
43.0,456.2,7.31,0,0
171.0,409.7,3.74,0,1
177.0,777.8,6.36,5,1
170.0,498.0,6.37,0,1
166.0,341.3,5.4,0,1
171.0,623.4,0.99,1,1
35.0,316.9,8.37,0,0
39.0,531.3,3.28,0,0
32.0,206.0,1.95,0,0
34.0,300.8,0.5,0,0
39.0,529.5,5.95,0,0
41.0,610.8,6.81,1,0
40.0,525.7,0.26,1,0
40.0,482.7,5.17,1,0
40.0,454.8,2.34,1,0
38.0,278.2,6.49,0,0
41.0,392.0,1.83,0,0
43.0,430.9,6.94,0,0
49.0,658.6,3.93,0,0
49.0,551.5,9.37,0,0
44.0,235.5,1.46,0,0
52.0,548.6,3.48,1,0
51.0,442.2,1.22,0,0
52.0,398.5,9.25,0,0
57.0,591.8,8.79,0,0
60.0,654.6,2.65,0,0
61.0,639.7,6.63,0,0
56.0,374.1,8.19,0,0
59.0,453.6,5.6,0,0
62.0,549.7,5.34,0,0
64.0,646.3,2.49,0,0
60.0,428.1,1.02,0,0
61.0,472.2,8.98,0,0
59.0,334.0,9.01,1,0
58.0,320.6,6.37,0,0
64.0,621.9,3.46,0,0
65.0,703.4,3.56,0,0
60.0,489.2,7.29,0,0
63.0,650.5,8.98,0,0
60.0,554.2,8.88,0,0
55.0,403.2,7.82,0,0
57.0,554.2,6.46,0,0
59.0,730.7,0.93,0,0
53.0,494.6,1.7,0,0
57.0,734.7,9.0,0,0
43.0,107.0,6.1,0,0
211.0,623.3,0.19,5,1
208.0,513.1,1.1,0,1
205.0,455.1,6.67,0,1
45.0,513.8,0.15,0,0
37.0,201.9,1.69,0,0
41.0,467.0,5.53,0,0
42.0,553.6,6.95,0,0
44.0,721.7,6.55,0,0
38.0,422.3,2.32,2,0
36.0,378.7,7.15,1,0
37.0,424.7,2.45,0,0
41.0,637.3,3.32,0,0
39.0,549.3,7.49,0,0
37.0,420.5,6.53,0,0
40.0,577.0,8.51,0,0
39.0,514.6,6.61,0,0
43.0,645.3,5.73,0,0
39.0,394.7,1.03,0,0
41.0,450.9,3.74,0,0
42.0,441.2,2.73,2,0
40.0,280.5,2.52,0,0
46.0,544.4,9.73,0,0
48.0,539.2,3.99,0,0
48.0,500.8,8.93,0,0
49.0,464.8,6.35,0,0
